Title,Release date,Platform,Other platforms,Publisher,Developer,Genres,Rating,Number of players,Metascore,Number of critic reviews,User Score,Number of user reviews
The Legend of Zelda: Ocarina of Time,"Nov 23, 1998",Nintendo 64,NA,Nintendo,Nintendo,"Action Adventure,Fantasy",E,1 Player,99.0,22,9.1,7359
Tony Hawk's Pro Skater 2,"Sep 20, 2000",PlayStation,"iPhone/iPad,PC",Activision,Neversoft Entertainment,"Sports,Alternative,Skateboarding",T,1-2,98.0,19,7.4,845
Grand Theft Auto IV,"Apr 29, 2008",PlayStation 3,"PC,Xbox 360",Rockstar Games,Rockstar North,"Action Adventure,Modern,Modern,Open-World",M,1 Player,98.0,64,7.8,4735
SoulCalibur,"Sep  8, 1999",Dreamcast,NA,Namco,Namco,"Action,Fighting,3D",T,1-2,98.0,24,8.4,394
Grand Theft Auto IV,"Apr 29, 2008",Xbox 360,"PC,PlayStation 3",Rockstar Games,Rockstar North,"Action Adventure,Modern,Modern,Open-World",M,1 Player,98.0,86,8.0,3671
Super Mario Galaxy,"Nov 12, 2007",Wii,NA,Nintendo,Nintendo,"Action,Platformer,Platformer,3D,3D",E,No Online Multiplayer,97.0,73,9.1,3712
Super Mario Galaxy 2,"May 23, 2010",Wii,NA,Nintendo,Nintendo EAD Tokyo ,"Action,Platformer,Platformer,3D,3D",E,No Online Multiplayer,97.0,87,9.1,2887
Red Dead Redemption 2,"Oct 26, 2018",Xbox One,"PC,PlayStation 4,Stadia",Rockstar Games,Rockstar Games,"Action Adventure,Open-World",M,Up to 32,97.0,33,8.2,4583
Grand Theft Auto V,"Nov 18, 2014",Xbox One,"PC,PlayStation 3,PlayStation 4,PlayStation 5,Xbox 360,Xbox Series X",Rockstar Games,Rockstar North,"Action Adventure,Modern,Open-World",M,Up to 30,97.0,14,7.9,1716
Grand Theft Auto V,"Sep 17, 2013",PlayStation 3,"PC,PlayStation 4,PlayStation 5,Xbox 360,Xbox One,Xbox Series X",Rockstar Games,Rockstar North,"Modern,Action Adventure,Modern,Open-World",M,Up to 16,97.0,50,8.3,4950
