Title,Release date,Platform,Other platforms,Publisher,Developer,Genres,Rating,Number of players,Metascore,Number of critic reviews,User Score,Number of user reviews
Portal Companion Collection,"Jun 28, 2022",Switch,NA,Valve Software,Valve Software,"Miscellaneous,Compilation",NA,NA,96.0,9,8.0,101
Elden Ring,"Feb 25, 2022",Xbox Series X,"PC,PlayStation 4,PlayStation 5,Xbox One",Bandai Namco Games,From Software,"Role-Playing,Action RPG",M,Up to 4,96.0,19,7.7,2509
Elden Ring,"Feb 25, 2022",PlayStation 5,"PC,PlayStation 4,Xbox One,Xbox Series X",Bandai Namco Games,From Software,"Role-Playing,Action RPG",M,Up to 4,96.0,84,7.8,10647
Persona 5 Royal,"Oct 21, 2022",PC,"PlayStation 4,PlayStation 5,Switch,Xbox One,Xbox Series X",Sega,Atlus,"Role-Playing,Japanese-Style",M,No Online Multiplayer,95.0,13,8.7,197
Persona 5 Royal,"Oct 21, 2022",Xbox Series X,"PC,PlayStation 4,PlayStation 5,Switch,Xbox One",Sega,Atlus,"Role-Playing,Japanese-Style",M,No Online Multiplayer,94.0,9,8.5,105
Persona 5 Royal,"Oct 21, 2022",Switch,"PC,PlayStation 4,PlayStation 5,Xbox One,Xbox Series X",Sega,Atlus,"Role-Playing,Japanese-Style",M,No Online Multiplayer,94.0,25,8.4,145
Elden Ring,"Feb 25, 2022",PC,"PlayStation 4,PlayStation 5,Xbox One,Xbox Series X",Bandai Namco Games,From Software,"Role-Playing,Action RPG",M,Up to 4,94.0,60,6.9,4856
God of War: Ragnarok,"Nov  9, 2022",PlayStation 5,PlayStation 4,PlayStation Studios,SCE Santa Monica,"Open-World,Action Adventure,General",M,No Online Multiplayer,94.0,140,8.0,5833
The Stanley Parable: Ultra Deluxe,"Apr 27, 2022",Xbox Series X,"PC,PlayStation 4,PlayStation 5,Switch,Xbox One",Galactic Cafe,Crows Crows Crows,"Adventure,3D,First-Person",E10+,No Online Multiplayer,93.0,7,8.5,49
God of War,"Jan 14, 2022",PC,"PlayStation 2,PlayStation 4",PlayStation Studios,SCE Santa Monica,"Action Adventure,Linear",M,No Online Multiplayer,93.0,60,8.5,1285
Cuphead in the Delicious Last Course,"Jun 30, 2022",Xbox One,"PC,PlayStation 4,Switch",Studio MDHR,Studio MDHR,"Action,Platformer,2D",E10+,No Online Multiplayer,92.0,9,8.3,46
Persona 5 Royal,"Oct 21, 2022",PlayStation 5,"PC,PlayStation 4,Switch,Xbox One,Xbox Series X",Sega,Atlus,"Role-Playing,Japanese-Style",M,No Online Multiplayer,91.0,9,7.5,91
Rogue Legacy 2,"Apr 28, 2022",Xbox Series X,"PC,Switch,Xbox One",Cellar Door Games,Cellar Door Games,"Action,Role-Playing,Platformer,Roguelike,2D",E10+,No Online Multiplayer,90.0,16,8.0,33
